 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       3.49E-17  5.20E-16   104.06  9.48E+15  5.41E-14     4873792
     2.50       2.15E-17  5.42E-16   144.48  7.32E+15  7.84E-14     3543557
     3.50       2.05E-17  5.61E-16   158.61  5.92E+15  8.90E-14     3234483
     4.50       2.66E-17  5.88E-16   159.00  5.05E+15  9.36E-14     3223931
     5.50       2.34E-17  6.21E-16   150.02  4.44E+15  9.31E-14     3415800
     6.50       2.18E-17  6.56E-16   133.29  3.98E+15  8.75E-14     3842442
     7.50       1.49E-17  6.93E-16   110.33  3.62E+15  7.65E-14     4643393
     8.50       8.36E-18  7.31E-16    81.98  3.32E+15  5.99E-14     6236373
     9.50       2.90E-18  7.69E-16    49.20  3.06E+15  3.78E-14    10334726
    10.50       5.97E-19  7.96E-16    35.12  2.85E+15  2.79E-14    14361061
    11.50       2.00E-19  8.13E-16    35.96  2.66E+15  2.93E-14    14026330
    12.50       1.17E-18  8.33E-16    36.83  2.50E+15  3.07E-14    13694141
    13.50       7.31E-19  8.52E-16    37.67  2.35E+15  3.21E-14    13390515
    14.50       2.33E-18  8.72E-16    38.49  2.22E+15  3.36E-14    13104374
    15.50       2.66E-18  8.91E-16    39.30  2.11E+15  3.50E-14    12833425
    16.50       3.06E-18  9.11E-16    40.14  2.00E+15  3.66E-14    12566563
    17.50       4.08E-18  9.30E-16    40.95  1.91E+15  3.81E-14    12316041
    18.50       5.90E-18  9.49E-16    41.75  1.83E+15  3.96E-14    12079508
    19.50       4.80E-18  9.68E-16    42.54  1.76E+15  4.12E-14    11855538
    20.50       6.67E-18  9.86E-16    43.36  1.69E+15  4.28E-14    11631509
    21.50       5.48E-18  1.00E-15    44.12  1.63E+15  4.43E-14    11430476
    22.50       6.06E-18  1.02E-15    44.86  1.57E+15  4.58E-14    11241514
    23.50       4.71E-18  1.04E-15    45.63  1.52E+15  4.73E-14    11053363
    24.50       8.61E-18  1.05E-15    46.38  1.48E+15  4.88E-14    10875961
    25.50       1.36E-17  1.07E-15    47.13  1.43E+15  5.03E-14    10699534
    26.50       1.16E-17  1.08E-15    47.91  1.39E+15  5.18E-14    10529569
    27.50       1.08E-17  1.10E-15    48.58  1.36E+15  5.33E-14    10381373
    28.50       1.23E-17  1.11E-15    49.34  1.32E+15  5.47E-14    10220754
    29.50       1.29E-17  1.12E-15    50.07  1.29E+15  5.62E-14    10073609
    30.50       1.44E-17  1.13E-15    50.70  1.27E+15  5.75E-14     9948026
    31.50       1.43E-17  1.15E-15    51.48  1.24E+15  5.91E-14     9797640
    32.50       1.26E-17  1.16E-15    52.29  1.21E+15  6.06E-14     9645496
    33.50       1.44E-17  1.17E-15    53.11  1.19E+15  6.22E-14     9497442
    34.50       1.47E-17  1.18E-15    53.92  1.17E+15  6.38E-14     9354070
    35.50       2.40E-17  1.19E-15    54.70  1.15E+15  6.53E-14     9220414
    36.50       2.00E-17  1.20E-15    55.52  1.13E+15  6.69E-14     9083226
    37.50       1.57E-17  1.21E-15    56.34  1.11E+15  6.84E-14     8951987
    38.50       2.20E-17  1.23E-15    57.16  1.09E+15  7.00E-14     8823676
    39.50       2.11E-17  1.24E-15    57.99  1.08E+15  7.17E-14     8697323
    40.50       2.21E-17  1.25E-15    58.80  1.06E+15  7.33E-14     8576074
    41.50       2.28E-17  1.26E-15    59.66  1.05E+15  7.50E-14     8453642
    42.50       2.20E-17  1.27E-15    60.45  1.03E+15  7.65E-14     8343620
    43.50       2.31E-17  1.28E-15    61.28  1.02E+15  7.82E-14     8229785
    44.50       2.68E-17  1.29E-15    62.16  1.01E+15  8.00E-14     8114031
    45.50       2.78E-17  1.30E-15    62.97  9.96E+14  8.17E-14     8009178
    46.50       4.04E-17  1.31E-15    63.79  9.84E+14  8.34E-14     7905491
    47.50       3.02E-17  1.32E-15    64.62  9.74E+14  8.51E-14     7804760
    48.50       5.20E-17  1.33E-15    65.51  9.63E+14  8.70E-14     7698528
    49.50       3.73E-17  1.34E-15    66.34  9.52E+14  8.87E-14     7602495
    50.50       2.87E-17  1.35E-15    67.14  9.43E+14  9.04E-14     7511592
    51.50       3.17E-17  1.36E-15    67.83  9.32E+14  9.20E-14     7435197
    52.50       3.98E-17  1.37E-15    68.51  9.22E+14  9.35E-14     7361151
    53.50       3.27E-17  1.37E-15    69.22  9.13E+14  9.52E-14     7285812
    54.50       4.73E-17  1.38E-15    69.91  9.04E+14  9.68E-14     7214571
    55.50       3.58E-17  1.39E-15    70.54  8.95E+14  9.83E-14     7148962
