 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       1.91E-17  5.20E-16   102.71  9.50E+15  5.34E-14     4682097
     2.50       1.03E-16  5.42E-16   144.76  7.31E+15  7.84E-14     3355433
     3.50       2.88E-17  5.60E-16   157.82  5.93E+15  8.84E-14     3080737
     4.50       7.16E-17  5.88E-16   159.47  5.05E+15  9.38E-14     3053677
     5.50       4.72E-17  6.21E-16   150.15  4.44E+15  9.32E-14     3240917
     6.50       3.23E-17  6.56E-16   133.30  3.99E+15  8.75E-14     3647956
     7.50      -9.09E-19  6.93E-16   110.49  3.62E+15  7.65E-14     4395497
     8.50       4.68E-18  7.30E-16    81.86  3.32E+15  5.97E-14     5928906
     9.50       2.96E-18  7.69E-16    49.16  3.06E+15  3.78E-14     9812419
    10.50       7.47E-19  7.96E-16    35.13  2.85E+15  2.80E-14    13624312
    11.50       9.31E-19  8.14E-16    35.95  2.66E+15  2.92E-14    13311342
    12.50       8.09E-19  8.33E-16    36.79  2.50E+15  3.06E-14    13007827
    13.50       2.41E-18  8.52E-16    37.66  2.35E+15  3.21E-14    12707678
    14.50       1.04E-18  8.72E-16    38.49  2.22E+15  3.36E-14    12429705
    15.50       1.42E-18  8.92E-16    39.32  2.11E+15  3.51E-14    12171114
    16.50       4.38E-18  9.11E-16    40.15  2.00E+15  3.66E-14    11920739
    17.50       4.70E-18  9.31E-16    40.95  1.91E+15  3.81E-14    11686496
    18.50       5.86E-18  9.50E-16    41.73  1.83E+15  3.96E-14    11467282
    19.50       6.97E-18  9.68E-16    42.54  1.76E+15  4.12E-14    11249064
    20.50       2.00E-18  9.86E-16    43.36  1.69E+15  4.27E-14    11038571
    21.50       2.88E-18  1.00E-15    44.14  1.63E+15  4.43E-14    10841547
    22.50       6.22E-18  1.02E-15    44.91  1.57E+15  4.58E-14    10655289
    23.50       5.14E-18  1.04E-15    45.66  1.52E+15  4.73E-14    10479757
    24.50       9.74E-18  1.05E-15    46.42  1.47E+15  4.89E-14    10309785
    25.50       8.48E-18  1.07E-15    47.15  1.43E+15  5.03E-14    10149403
    26.50       1.13E-17  1.08E-15    47.87  1.39E+15  5.18E-14     9996898
    27.50       1.24E-17  1.10E-15    48.63  1.36E+15  5.33E-14     9840931
    28.50       1.65E-17  1.11E-15    49.35  1.33E+15  5.47E-14     9696376
    29.50       1.02E-17  1.12E-15    50.05  1.29E+15  5.62E-14     9561336
    30.50       1.07E-17  1.14E-15    50.71  1.26E+15  5.76E-14     9436755
    31.50       1.24E-17  1.15E-15    51.48  1.24E+15  5.91E-14     9295044
    32.50       1.44E-17  1.16E-15    52.33  1.21E+15  6.06E-14     9146175
    33.50       2.16E-17  1.17E-15    53.09  1.19E+15  6.22E-14     9013256
    34.50       2.96E-17  1.18E-15    53.92  1.17E+15  6.37E-14     8874127
    35.50       1.74E-17  1.19E-15    54.72  1.15E+15  6.53E-14     8745702
    36.50       1.73E-17  1.20E-15    55.52  1.13E+15  6.69E-14     8618953
    37.50       2.30E-17  1.21E-15    56.35  1.11E+15  6.84E-14     8492334
    38.50       2.56E-17  1.23E-15    57.14  1.09E+15  7.00E-14     8374681
    39.50       2.15E-17  1.24E-15    57.98  1.08E+15  7.16E-14     8253122
    40.50       1.91E-17  1.25E-15    58.79  1.06E+15  7.33E-14     8140492
    41.50       2.06E-17  1.26E-15    59.66  1.05E+15  7.49E-14     8020302
    42.50       2.57E-17  1.27E-15    60.47  1.03E+15  7.66E-14     7913118
    43.50       2.40E-17  1.28E-15    61.28  1.02E+15  7.83E-14     7808652
    44.50       3.12E-17  1.29E-15    62.13  1.01E+15  7.99E-14     7701911
    45.50       2.79E-17  1.30E-15    63.00  9.96E+14  8.17E-14     7596537
    46.50       2.78E-17  1.31E-15    63.79  9.85E+14  8.33E-14     7501608
    47.50       4.30E-17  1.32E-15    64.70  9.73E+14  8.53E-14     7395288
    48.50       2.76E-17  1.33E-15    65.53  9.62E+14  8.70E-14     7302683
    49.50       3.09E-17  1.34E-15    66.34  9.52E+14  8.87E-14     7213373
    50.50       3.18E-17  1.35E-15    67.15  9.42E+14  9.05E-14     7126264
    51.50       3.63E-17  1.36E-15    67.82  9.32E+14  9.20E-14     7055916
    52.50       4.06E-17  1.37E-15    68.50  9.23E+14  9.36E-14     6985621
    53.50       4.35E-17  1.38E-15    69.20  9.13E+14  9.52E-14     6915105
    54.50       3.34E-17  1.38E-15    69.87  9.05E+14  9.67E-14     6848516
