 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       1.85E-17  5.20E-16   103.70  9.49E+15  5.39E-14     4887541
     2.50       3.05E-17  5.42E-16   144.52  7.32E+15  7.84E-14     3544387
     3.50       2.96E-17  5.61E-16   158.65  5.92E+15  8.91E-14     3230459
     4.50       3.92E-17  5.88E-16   159.15  5.05E+15  9.36E-14     3219046
     5.50       2.63E-17  6.21E-16   150.43  4.44E+15  9.34E-14     3408589
     6.50       1.95E-17  6.57E-16   133.50  3.98E+15  8.77E-14     3841506
     7.50       1.27E-17  6.92E-16   110.31  3.62E+15  7.64E-14     4640322
     8.50       1.34E-18  7.30E-16    81.99  3.32E+15  5.99E-14     6235820
     9.50       1.81E-18  7.69E-16    49.18  3.06E+15  3.78E-14    10336970
    10.50       5.45E-19  7.96E-16    35.13  2.85E+15  2.80E-14    14357601
    11.50       6.09E-19  8.14E-16    35.98  2.66E+15  2.93E-14    14019312
    12.50      -2.73E-18  8.33E-16    36.79  2.50E+15  3.06E-14    13711472
    13.50       2.12E-18  8.52E-16    37.66  2.35E+15  3.21E-14    13391651
    14.50       2.11E-18  8.72E-16    38.48  2.22E+15  3.36E-14    13103648
    15.50       2.24E-18  8.92E-16    39.33  2.11E+15  3.51E-14    12827422
    16.50       4.94E-18  9.11E-16    40.12  2.00E+15  3.66E-14    12571858
    17.50       2.50E-18  9.30E-16    40.95  1.91E+15  3.81E-14    12316710
    18.50       5.20E-18  9.49E-16    41.77  1.83E+15  3.96E-14    12073894
    19.50       4.85E-18  9.68E-16    42.57  1.76E+15  4.12E-14    11849025
    20.50       8.18E-18  9.86E-16    43.36  1.69E+15  4.28E-14    11629342
    21.50       6.81E-18  1.00E-15    44.14  1.63E+15  4.43E-14    11427780
    22.50       6.86E-18  1.02E-15    44.92  1.57E+15  4.58E-14    11228704
    23.50       8.25E-18  1.04E-15    45.64  1.52E+15  4.73E-14    11051283
    24.50       8.68E-18  1.05E-15    46.41  1.48E+15  4.88E-14    10866874
    25.50       9.42E-18  1.07E-15    47.15  1.43E+15  5.03E-14    10697556
    26.50       9.77E-18  1.08E-15    47.86  1.39E+15  5.18E-14    10539118
    27.50       1.09E-17  1.10E-15    48.65  1.36E+15  5.33E-14    10367619
    28.50       1.68E-17  1.11E-15    49.34  1.33E+15  5.47E-14    10221821
    29.50       1.40E-17  1.12E-15    50.05  1.29E+15  5.62E-14    10078406
    30.50       1.49E-17  1.14E-15    50.71  1.27E+15  5.76E-14     9946470
    31.50       1.79E-17  1.15E-15    51.50  1.24E+15  5.91E-14     9793078
    32.50       1.36E-17  1.16E-15    52.31  1.21E+15  6.07E-14     9641398
    33.50       1.78E-17  1.17E-15    53.10  1.19E+15  6.22E-14     9497236
    34.50       2.52E-17  1.18E-15    53.93  1.17E+15  6.38E-14     9353222
    35.50       2.15E-17  1.19E-15    54.75  1.15E+15  6.53E-14     9211897
    36.50       1.79E-17  1.20E-15    55.51  1.13E+15  6.69E-14     9085067
    37.50       1.69E-17  1.21E-15    56.35  1.11E+15  6.84E-14     8950922
    38.50       2.55E-17  1.22E-15    57.18  1.09E+15  7.00E-14     8820362
    39.50       1.95E-17  1.24E-15    58.00  1.08E+15  7.17E-14     8695890
    40.50       2.10E-17  1.25E-15    58.82  1.06E+15  7.33E-14     8573104
    41.50       2.19E-17  1.26E-15    59.66  1.05E+15  7.49E-14     8453601
    42.50       2.47E-17  1.27E-15    60.49  1.03E+15  7.66E-14     8338298
    43.50       3.03E-17  1.28E-15    61.35  1.02E+15  7.83E-14     8221247
    44.50       2.50E-17  1.29E-15    62.09  1.01E+15  7.99E-14     8122302
    45.50       2.75E-17  1.30E-15    62.97  9.96E+14  8.17E-14     8008493
    46.50       2.70E-17  1.31E-15    63.81  9.85E+14  8.34E-14     7903340
    47.50       2.87E-17  1.32E-15    64.65  9.73E+14  8.51E-14     7800434
    48.50       3.21E-17  1.33E-15    65.51  9.62E+14  8.70E-14     7698937
    49.50       3.10E-17  1.34E-15    66.38  9.52E+14  8.88E-14     7598669
    50.50       4.03E-17  1.35E-15    67.12  9.42E+14  9.04E-14     7513488
    51.50       4.43E-17  1.36E-15    67.85  9.33E+14  9.20E-14     7432596
    52.50       3.04E-17  1.37E-15    68.57  9.23E+14  9.37E-14     7355642
    53.50       3.34E-17  1.38E-15    69.22  9.13E+14  9.52E-14     7286060
    54.50       3.45E-17  1.38E-15    69.87  9.04E+14  9.68E-14     7218320
