 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       1.61E-17  5.20E-16   103.19  9.48E+15  5.37E-14     4679946
     2.50       2.70E-17  5.42E-16   144.18  7.32E+15  7.82E-14     3385770
     3.50      -4.17E-17  5.61E-16   157.72  5.93E+15  8.85E-14     3101000
     4.50       8.78E-18  5.88E-16   159.81  5.05E+15  9.40E-14     3059900
     5.50       9.18E-17  6.21E-16   150.71  4.44E+15  9.37E-14     3244605
     6.50       2.14E-17  6.56E-16   133.56  3.98E+15  8.76E-14     3661315
     7.50       1.41E-17  6.92E-16   110.32  3.62E+15  7.64E-14     4427721
     8.50       2.76E-18  7.31E-16    81.94  3.32E+15  5.99E-14     5952872
     9.50       2.45E-18  7.69E-16    49.16  3.06E+15  3.78E-14     9864835
    10.50      -1.46E-18  7.96E-16    35.13  2.86E+15  2.80E-14    13693478
    11.50       3.03E-18  8.13E-16    35.97  2.66E+15  2.93E-14    13378321
    12.50       1.81E-18  8.33E-16    36.80  2.50E+15  3.06E-14    13072711
    13.50       3.35E-18  8.52E-16    37.61  2.35E+15  3.20E-14    12791400
    14.50       2.96E-18  8.72E-16    38.49  2.22E+15  3.36E-14    12499098
    15.50       2.06E-18  8.92E-16    39.31  2.11E+15  3.51E-14    12237535
    16.50       3.58E-18  9.12E-16    40.16  2.00E+15  3.66E-14    11979839
    17.50       3.87E-18  9.30E-16    40.98  1.91E+15  3.81E-14    11742230
    18.50       5.12E-18  9.49E-16    41.76  1.83E+15  3.96E-14    11520338
    19.50       4.21E-18  9.68E-16    42.56  1.76E+15  4.12E-14    11303704
    20.50       5.03E-18  9.86E-16    43.36  1.69E+15  4.28E-14    11094529
    21.50       6.13E-18  1.00E-15    44.13  1.63E+15  4.43E-14    10902499
    22.50       5.03E-18  1.02E-15    44.87  1.57E+15  4.58E-14    10721453
    23.50       7.04E-18  1.04E-15    45.64  1.52E+15  4.73E-14    10540031
    24.50       6.40E-18  1.05E-15    46.41  1.47E+15  4.88E-14    10364800
    25.50       9.51E-18  1.07E-15    47.16  1.43E+15  5.04E-14    10202060
    26.50       8.49E-18  1.08E-15    47.87  1.39E+15  5.18E-14    10050490
    27.50       8.95E-18  1.10E-15    48.61  1.36E+15  5.33E-14     9898164
    28.50       1.23E-17  1.11E-15    49.32  1.32E+15  5.47E-14     9754369
    29.50       1.26E-17  1.12E-15    50.03  1.29E+15  5.62E-14     9616313
    30.50       1.30E-17  1.13E-15    50.69  1.26E+15  5.75E-14     9491264
    31.50       1.80E-17  1.15E-15    51.50  1.24E+15  5.91E-14     9341467
    32.50       1.24E-17  1.16E-15    52.31  1.21E+15  6.07E-14     9197913
    33.50       2.57E-17  1.17E-15    53.09  1.19E+15  6.22E-14     9061819
    34.50       2.09E-17  1.18E-15    53.91  1.17E+15  6.38E-14     8924258
    35.50       2.07E-17  1.19E-15    54.71  1.15E+15  6.53E-14     8794178
    36.50       1.81E-17  1.20E-15    55.52  1.13E+15  6.68E-14     8664737
    37.50       2.02E-17  1.21E-15    56.34  1.11E+15  6.84E-14     8538396
    38.50       2.69E-17  1.23E-15    57.14  1.09E+15  7.00E-14     8419242
    39.50       1.92E-17  1.24E-15    57.94  1.08E+15  7.16E-14     8301833
    40.50       2.09E-17  1.25E-15    58.79  1.06E+15  7.33E-14     8183016
    41.50       2.11E-17  1.26E-15    59.63  1.05E+15  7.49E-14     8066965
    42.50       3.35E-17  1.27E-15    60.48  1.03E+15  7.66E-14     7954773
    43.50       2.25E-17  1.28E-15    61.28  1.02E+15  7.82E-14     7850436
    44.50       2.38E-17  1.29E-15    62.18  1.01E+15  8.00E-14     7737372
    45.50       2.43E-17  1.30E-15    62.97  9.95E+14  8.17E-14     7639782
    46.50       3.01E-17  1.31E-15    63.82  9.84E+14  8.34E-14     7537304
    47.50       3.03E-17  1.32E-15    64.66  9.73E+14  8.52E-14     7440596
    48.50       3.71E-17  1.33E-15    65.53  9.63E+14  8.69E-14     7342285
    49.50       3.89E-17  1.34E-15    66.36  9.52E+14  8.88E-14     7249460
    50.50       3.06E-17  1.35E-15    67.13  9.43E+14  9.04E-14     7166184
    51.50       4.08E-17  1.36E-15    67.85  9.33E+14  9.20E-14     7090252
    52.50       3.39E-17  1.37E-15    68.50  9.23E+14  9.36E-14     7022113
    53.50       2.93E-17  1.38E-15    69.20  9.14E+14  9.52E-14     6952307
    54.50       3.89E-17  1.39E-15    69.89  9.04E+14  9.68E-14     6882496
